tx_type,cross_bank,ATM,tx_amt_total,num_of_tx_date,CR,DB,cust_id
1,1,1,1434175536.0,74,9488335.0,24960487.0,00db29797c9498ef05ef3323751cf133d01ad03cd06f0a44c4c2c4c7ed07781b
1,1,1,22933413.0,202,333379290.0,106704893.0,00eabc23fbb38516c8e9a13f3a8f8d00579ff7baeb2ec87a3763dfa82da1900c
2,0,1,1850265.0,101,6114685.0,13261243.0,00fb7f89bad3490ef764403e399cb08e863f530bc399c20b1504f5cef752fb85
1,1,1,18932740.0,122,712.0,322.0,010f0a437884833140ede0ec8ac7b6f54fb4341a8aea81162162f1c203424468
2,1,1,6574315.0,89,2556290.0,31502020.0,014e555f692d9a4c693e40cb9c6ff66bdf209510acc7e1c8ab9fb57ef4c1ad01
2,1,1,161798.0,295,311141224.0,266226891.0,015c34c9efd205ae5afc03aeb910dcef8f5e53324a4278ff2d9abb755404965e
2,1,1,174757913.0,246,3198115.0,28456039.0,0172056578071e83399216fcd640bdc4de4583149d0fd936a363abe0724afc1c
1,1,1,1380048.0,106,5280269.0,34133787.0,0174dff6a8a2038f9966d61d8450e19e3bd751e4051c2ace42799d171742acc1
1,0,1,19603046.0,294,2378055.0,110654701.0,017adb8093b755cf489e8da8a00af58c38483ea90dd1ff088ede35157b5f6e70
2,0,0,9767.0,316,1850101.0,3889228.0,018e43563b76a9f51c84f133ab747c4ec86db8856b8e4bb9264ab74036e3eebf
1,1,1,63056257.0,76,4678599.0,2813030.0,018e8017163e4d9367597019afc6e878c7dfe90d42452ae5a6cae5b2795e0513
2,1,1,4021422.0,3,1921.0,52463.0,019481fce1933420d113899a4348c8167699cdabb7cad25a3ad4c76e42d3aa79
2,1,1,82989977.0,18,342938.0,455400.0,019d2fcb4b44e7578c1201637f5a983926354f01f111f5cda9a7a5138951cff9
1,1,1,989611.0,59,7023258.0,12940205.0,01b1735c3dbf0a35c1c989bb45434ce4326b365b73db0612190e56b2858e0184
1,1,1,1887.0,47,8546465.0,8227724.0,01b8d2adc3fc434003a494076bc0db7612f23ae1e6789b7c36c26b392125db18
1,0,1,184799.0,132,18633219.0,92236222.0,01b9a8458ee27ddcf46d2506a9b44e43c9d094520b0fa4d0609c280441a43c7c
1,1,1,237993.0,78,3839735.0,5359524.0,01bf66b21fbeb5196101f8bf3455c65754a90d1a5cf1470a1d4d3b483935aba3
1,1,1,39358183.0,346,26414670.0,52683542.0,01c2d84f327756e4bfc0140db933808e05b867c78a4c2fa59bc7c744e4ef80e7
1,1,1,4070948.0,11,3337453.0,1728421.0,01c3f5aa308f5a92beafce898c03dbec68e60db94c656e2187594ed028f8e32c
1,1,1,1192833652.0,57,12396908.0,9369387.0,01c705b457297805c1c08137cb3adb164b8f393c265db2c3aff0a5484a703302
1,1,1,47299740.0,17,440139.0,424983.0,01e846811795df9dbe534fe129d595d6678e3c301e37337da645eade2b9e6789
1,1,1,60481844.0,101,4422746.0,5138556.0,01e8cffa3a1f4d45fdc2eb0f881ffab169132cf7bec21c700aed877721760985
1,1,1,103312108.0,118,67893868.0,10358708.0,01fabc3bbd5407fa29aed0e389d5fba1c04d058431b92db44ca81de785dc0bed
2,1,1,0.0,5,305908.0,630242.0,020d9d0ff320b09ea9cc132af94c7d0ae9e24c10c3a34a9768315f21540640b7
1,1,1,2242041.0,300,146641417.0,287424807.0,021b24db10e3c8401e6d7ba959d9a86dc48f46541ba9bc905a10c756515dead1
2,1,1,1545162.0,60,96911.0,175530.0,0228a2571356a8fb29b5118288cb8493d2237fae2c5058917c31b4facac7934e
1,1,1,1557585.0,105,21776440.0,35354272.0,022bec0a12b56285bf12c49ba1512c0acdbf4176a30d96abeb0e2d4bb2222b99
1,1,1,2878811.0,217,223441040.0,224194905.0,02476f31243cb5da7dc2ed8a05d2c392eee2a5a7e1305472d161c0feba7590aa
1,0,0,36488.0,295,268894462.0,267677354.0,024fe82a640914b0e15db883bca5d852c47642a8110187c2ac119ea398e7a6ad
1,0,1,185.0,122,8582868.0,21846488.0,025ab6406e1178eb38636a5afcfa147e7ce8dfbfc6e566372cfe4253e81b0679
2,0,1,664744.0,159,9262223.0,3396998.0,02635906e3b55964d9e42f5f8aeeb62c25599f73dfd10bcbf420a2db0d0107bb
1,1,1,75769405.0,40,23041980.0,74159428.0,026935bf1874928f608ed6368fbfdf0585765d05586ee0aed3a158657c8e9703
1,1,1,4320841.0,60,4239479.0,3687960.0,027939f7a74c64b85f0d59199d375420c5d1096625c0401a66f09cb8108ad968
1,1,1,198070.0,244,6629121.0,74071527.0,0280c69eed252df4ca1f3cc629a4dd95e22cd290b02a9319fdd65dce9e19e30d
2,1,1,21952446.0,49,7071615.0,6000096.0,0294876396ad41d88e16bf01235111dd8f8239390cddb4a8f8eb537986f128af
1,1,1,2108219.0,54,271162.0,235955.0,02982312a0e1a9270f6049893aaf7c81ea7876bdcf9214f79dbb79f37bcdbf8a
1,1,1,120736326.0,243,2040260541.0,94848035.0,029c4d6ac402d60b7db4014691c5eee1268a42b9c4fcc5fac7de9c7f54e3c1a5
1,1,1,2740951458.0,43,60033.0,1911231.0,02adda332110da625370f6200c6cca173b4d95c9292a83e9a971d3f0fd171666
1,1,1,877059.0,239,55025114.0,64668536.0,02b67edcb9b6c15d2771dd2771cf3f5263ea6b732ddd23b4bacde9d1cb2d826c
2,1,1,12001915.0,214,1310372.0,3344220.0,02ca28d01fb9f03ae9cf70d4fca4eea4f2fe493a23e3c3d88d5ebc62376ce865
1,1,1,0.0,9,9572.0,9072.0,02cbf5990bd177896fb1592602701baa04a04fa55727391f673b7db6a5531658
1,0,0,204.0,46,1959743.0,168137.0,02cd0aa40bdc174c31de8570c36f84c2f1980deb0ba653e93b811733c2e5477b
1,1,1,3641255.0,129,473604.0,1547619.0,02da99a282f1971a21ba5423ded7bc0ca05c478da364b9292e7e8794d20933ae
1,1,1,3769830.0,1,2086.0,0.0,02dffdde8de0a424e09e7dfa8009a710614815a61e0fce3098708d6d0eccc589
1,1,1,1229312.0,47,3758426.0,13715988.0,02e2cb9bb3a904b4e44b7e40f54d536ca5941db440ba0065bfc8e8a4ee9def30
1,1,1,7278670.0,17,10008.0,18568148.0,02f05c3326e02fe1d7dfa2946a28f5a167ae755e8b7648fb8f74b8e52615b14e
1,1,1,19211876.0,36,2296194.0,2678887.0,02f373a818d33bcf3818c0f130bd6f8b99bd767b41aeadc022ac32bb3bd8c52a
1,0,1,183292.0,9,367583.0,680663.0,02f5e4026e1563be7932e8df5a5ceaa06bd222056fc01b1c5cd4721e79c57460
1,1,1,8600354.0,64,238374.0,684396.0,02fd4641b43627645b4671b0c51bc5127b325ce77ef756bb5f4beb1cde324932
1,1,1,237094080.0,44,213063.0,292871.0,0319f29b48aa9f470162806df8283107f962b5224001ac3c5ce9612f7b1558b5
1,1,1,20362233.0,12,495972.0,208284.0,031a651fcac9f62f762d5096e6245a0800987bb2c22ec97bbcdaeca20f2da356
2,1,1,263281.0,284,40497575.0,88631220.0,03219b1a59b0cf266fe96d1eaec720f1389bab9b8476220766c343266a8a9aaa
2,1,1,618374.0,23,497966.0,642834.0,0325a2c4d40da18466aa84f31f00249acff55cb43cda59135e2282855f089dde
1,1,1,110301046.0,26,505850.0,728070.0,032e94d5676d130974762905f6a33084fbcfded590a260b3c81cefc11f861942
2,0,1,39548.0,39,863426.0,1605038.0,0340e7611f0d82c3cb87e6194fa14bb2ccf8afbf1b341860b7e09990369f6466
2,0,1,138477.0,363,3379197.0,4427456.0,03490404234bcdd1132e0c86045870a18b5a89e61099a4910e8d2a777158c5a5
1,1,1,3141034.0,302,82416637.0,131649068.0,035e2ebcd5c23f4dd0f1fc81a1fca8afd3121f7431bb585fa99c22e1a7164dba
1,1,1,2583775.0,122,639398.0,1494546.0,03667361a349865dfa37441078fd6f57e7e4efa77df9ae9ede31f9ee840f1d73
1,1,1,50955083.0,6,1308371.0,39071.0,0370c4c484a6756a54ec5ea03eda07fda0dd2cef341ced6d650d7c3cbca1e049
1,1,1,12454032.0,4,130964.0,274695.0,0388c9d9ef39aad168e450e671382cfa405d61efd39517e709a325c0998f2def
1,0,1,1904852.0,64,197.0,187.0,0395a8504dd65667c5787e3eb16171b12416c23e6182b1bb7a435452c2a26483
2,0,0,1651.0,4,610.0,349.0,03aa5a29fc548d7f8d2a7c9612891b450967d41ee1aa7fa20c3995ff828bc171
1,1,1,64920589.0,217,28086182.0,41892539.0,03b1ce8ad53f6fc0664983adbd02e06218bec2ce70e654220955595a0467d50e
2,1,1,2118402.0,57,36616960.0,33928024.0,03b7942010deb655d44c03932e9875c6bfee033b7ce00c5ed72e73bb8659eb8d
1,1,1,605661.0,208,1781668.0,9587292.0,03c1862d9e5642f4048fef7eb50320d696859caa39c4c66ee9d275d491c4786b
1,1,1,305277.0,3,278617.0,375223.0,03c4c091ca95e81bc5c849d760270092654967dbba2fe057d6529b77eb64592e
1,0,1,1208892.0,1,9160.0,0.0,03ce53f74b4ae2d6860bba171942cc6de335ea1eeb22a175d5cfe82fdf264e81
1,1,1,15096674.0,315,83731327.0,53691835.0,03d1948a0ef83968ab0c2b615076e0b523e240a727d8b0c772a88c1fccbea96e
1,1,1,1176428.0,42,3454791.0,6352508.0,03d4cbfcb065501bebb2b75ea4df2b779df0192a183af30d3b7c00c7b0020a82
1,1,1,257706.0,79,1802684.0,1239787.0,03d74e7d06f232422a32757622ef4bab977120bcbc72b90a0a946ae25c71e2ae
1,1,1,5729003.0,225,34936923.0,40165481.0,03da3ba7b01245a57b06015b7860caf7e17f291662df5be620a2467797d4c246
2,0,0,14008.0,116,645093.0,1275397.0,03e31a0adb3fd9eec8a735d65fbe2f13f2c0ae165ca855b4b832c8f3a30d926f
1,1,1,6064720.0,236,39170554.0,93618303.0,0405156b4d5a0104c6738d684fe707e4314b599576f0e471dff2cefc441ac1eb
1,1,1,579609.0,19,506619.0,373020.0,042335ff845476d4f10304204bb4ea528a6fa06473b6e244b62fdaaa57f460f7
1,1,1,876956.0,56,1264843.0,2391935.0,0430c6945fe02cdff0647386554d51f08dc01e26ace7f5c70f73b7abfc07c120
2,0,0,4058093.0,82,127066945.0,70171593.0,0441bc340966a8376d2ffca0eb02515e3dd680a50912cd9b730e4c331bd333eb
1,1,1,753157.0,228,150286387.0,55002345.0,044b3822e983e2ef58bf4d8a4f9d834462ded48c8f4797c8c9078201b1e62641
1,1,1,689941.0,114,6187797.0,3165746.0,045e7f52ca4a7779b25a88a790e724866bd31c3f0b893d4751ed0667543decae
1,1,1,912225.0,50,3926648.0,4981914.0,0468d8aa19c0c5c8f95a583d2e6992912e4a44249ceeb7fa60ddfc93b74726ee
1,1,1,14477425.0,311,734097076.0,24268387.0,046e9500a7bf3bf99514928be693fd59dbf5179b1f0a66a2975ca752b7d052cb
1,1,1,128460237.0,157,19229797.0,37611111.0,048e55d7ca9864785415543d59da2399b233b78a4ddc082e4727b7fa99d98b09
1,1,1,77560522.0,203,46100.0,140930.0,04ac4e9d22843711c4c1276de3b55c377016e2158f280f1281ca3b17b018e994
2,1,1,1601217.0,33,57951429.0,120395206.0,04b4dab6fac263b0c917eea00669abeb0fda70796c18c0f51a7c7321e990927c
1,1,1,1099279.0,24,4501191.0,1125344.0,04b636a1f8774a94db203aded6e260df7004e31ac9bd0e5651fb156b6b25de48
1,1,1,414150.0,6,501146.0,169850.0,04cc16876d1eace351709dd7d257124c39cdd6c63637918aee8dcb0714b6d994
2,1,1,0.0,156,65299818.0,149546306.0,04d34e68557e46e9c2f71a7755f5b0bcfc41e2c937ad5f004bcfca16bf0656da
1,0,1,40543482.0,10,15978.0,8386795.0,04dc482d9dcfc129854131604ca2ce6462de8045c538894046ea424c2af76f94
1,1,1,102425701.0,271,3672628.0,5272797.0,04df135c901b28a020026a35fcfc6e71a701b82bd0d25747f018bb0174398b56
1,1,1,304636236.0,109,16418280.0,3815258.0,04fec769e2156592a5302db2e0d0d636526cbd85438e4c3a26efec03b1ef015f
1,1,1,24350670.0,23,12429310.0,4763543.0,050afa3232944e8ce020047934d904246c0ad561c9e252376e4ccb02ec3d6460
1,1,1,885452.0,84,9176033.0,3861059.0,0521dfdb616b74903f5e463457be17b389c6da06c120d71a86e55852fb81a361
1,1,1,2280223.0,128,135045.0,368196.0,052627109603bcc1e31566b124ceb39a0e66906cfa523bf80f4bb295c30a4a39
1,1,1,29650853.0,1,1782.0,0.0,0528824694dc973ba8063b14eb0c6a0d0fb7b574560117dc1825b45396b627a5
1,1,1,67709992.0,1,1010695.0,0.0,052b30cc3c744d1a2988eb5b3890dccbef00b2024863d91ae2976016de7478e3
2,1,1,4667712.0,24,5763494.0,2448694.0,052e8d4290730f09b71cb2624afadab8c78fa6953c48292470542c6857885afd
2,0,1,2044395.0,175,2673772.0,635651.0,053a1afb6611f2b7398ea38823530528e394eb5435b7a6b889eba080f945345b
1,1,1,7961533.0,235,145084384.0,39608761.0,05400c860d3cdb3920801a4590ab2b34f232463c8707ce0295d18bcd212c3e9a
2,1,1,596617.0,28,630429.0,57348.0,056236c14640433c5d6d623e4636326cfe209d54413ca2b1bcb0d4c0cf3f8b8d
1,1,1,1839704.0,180,59360915.0,124274221.0,0574373b6bbbc3da877f52a20f1696aa08bb2778a10d0b788f8365795faeb303
2,1,1,65375.0,5,14338.0,11421.0,057862ccac325212b683830ca0044439b7803b02ce5cb82caa792281c9ee047f
1,1,1,30039662.0,170,1499210.0,6133571.0,0587f3c97ae1cc71be5d02217203138d761340374860d0337c5a94f914a6d398
1,1,1,666833.0,208,12541109.0,17297153.0,058ed3b7b1168ed02e3b633e912503922cf2087d0633ea28209351bfc84ab445
1,1,1,1153670.0,122,549308.0,189617.0,059433e8731a356660c9f013390636c3a5a505a335c8ca51705bce025d8b10ac
2,1,1,39637855.0,39,1248708.0,1103642.0,059b2971aeba1262c2b36fb89e9633f55b6451e66feaa65e6ec7a8b21afa9ab2
2,1,1,273316.0,89,5163636.0,6528106.0,05b1aa417dac0ab2b3c5dffd7f742c9d409d704f19d80d62f93b04bbd7618d81
2,1,1,897428.0,33,44051.0,69393.0,05cbd668a0fe70f535910422cdb6a9e9bd0a59c26c553c8437fd016589f37265
1,1,1,12353179.0,74,1033721.0,1203189.0,05ce462823caeaa9327b3f5f9b4d4f54be77b44122a6a4b21ea14e93163317e8
2,0,1,2205397.0,22,672665.0,1993844.0,05d16120e622640438421a39564db6eedc105f0e343435ac445f72ddfb6c386b
1,1,1,222309.0,242,72094841.0,181323352.0,05d8508ae7dfe8942fff8ebcca35eb06e73283a3cfba722eb31bcb0e04a5c639
2,1,1,3431879.0,343,218117018.0,311960115.0,05d96a261bc459a0eae8a070afddaf562353c5db307203b3aaf757c4c72f7a74
1,1,1,1636340.0,78,13636818.0,7334681.0,05da2bb9577e030b031adbfcc7cefc876f95447fe92faacfab76b4f150ea5071
2,0,0,13187022.0,85,0.0,0.0,05e63533cde847c6f93d9b78ee8d6a1ef50d99ddafb7dea32fb96c46e52323df
2,1,1,179941902.0,16,59277.0,76892.0,0600713532bc9020efea9cdf8ff1bacb09caa824f521ef0cdc343c54b26d12c0
1,1,1,1314370.0,89,52033724.0,489489515.0,0603192160d27b90f31ccc4a5e983b0858ad5b03966a9e54db0094916e47605a
1,1,1,113809402.0,50,248071.0,66590.0,0604a235e17087e6fa800b8197911bbb547a31ce2df54aad05d4ba79d2e279ba
1,1,1,412930115.0,15,173604.0,130647.0,060e4307caae83b07b0a86dd3b77f3a7e77eb18fae2a361fa27857760ee8ad49
1,1,1,7271902.0,114,1908088.0,51775.0,0610be2288f4e3b759e6eba568faf2edbadc0ac87749ed2964f6bb78421789d4
1,1,1,35936769.0,237,32237146.0,26604612.0,0616da6debd7ebb07a763401b1145011cef17492cf2b28a787344857ba5d3be3
2,1,1,14501788.0,86,3106977.0,2842378.0,0622ced0b581434875b79614d693c0ce4c1d18a702d49b3dedaf97a76a5779fc
2,1,1,22885737.0,37,2000591.0,4763975.0,063b86b24339dfd2280d68c6a98481be9a47a3815c9639f94a441eac72f19a29
1,1,1,34448822.0,16,0.0,0.0,0658224f10ea4c5c8b4252f1bef32ee1071dc504bfc6704a706a6b4a21f2a116
1,0,1,4456114.0,6,126158.0,213714.0,06652e3cb85e613400ad5d928760b049b2e3466fe114de9fc0e9ef308ccdb084
1,1,1,104536222.0,164,0.0,0.0,0671ebdc8facc9418d1dd1f00ecbb10162d2536565391c3bcf7b123ee59a9385
2,1,1,211998463.0,17,3625517.0,703837.0,0674e658842df0834c3d213c7772f42e96283d99e18cb82f8b9247d24db5b71d
1,1,1,63921440.0,6,2595424.0,215932.0,067636b0da1ad02f219acd91cbba72d20ddb9681941fd4c4ac9dcedce79305ab
1,1,1,384426.0,2,95262.0,0.0,067b237f28c7a19a01c3751f3687fb99f6ea9405e1dfc714593bc9b6835e71d1
1,1,1,286396311.0,2,302293.0,503822.0,06904a74a3b04d5f0c6cc7e0fab6cd10661e8ec9ccb3029ef0d2fc4f3f3cfcdf
2,0,1,0.0,9,194907.0,2006111.0,0694cb063ad7a366fc3628d96c90f7a8783613fa09ab130e9eadcde9d079c200
1,1,1,7287657.0,37,759384.0,104407.0,069f758e7e2559eff5dd34d7205cbc68038e2e58e79884c94b2e2a8ba51ed965
1,1,1,440084183.0,52,278317.0,205181.0,06ab5d36e2e84520fa64b74c5733ec46a665bf4b79ac82335557e11b79bca158
1,1,1,0.0,90,58610683.0,17476317.0,06c0f1468b20e4ec8031c138a913093ab53a384a2c88cb8c97d9ff61adfab5d0
1,1,1,19375928.0,29,1823531.0,876012.0,06c5ea5ccda4dfd8839c0dec8646fb3071d2c02883ef8a9f715aaa74f38d2419
1,1,1,1034.0,82,406708.0,435204.0,06c881046448226f804df9100ba0e9fc8212373e302d77c4f68b893cda092913
1,1,1,4283877.0,176,11722088.0,9943819.0,06dcdef718bb70b10ea11631c6ffbca2eba95a9eb5fe43405a50543c7821c955
2,1,1,189000.0,194,52610728.0,116050618.0,06e2a3f34fb1e5f2fe827a68c4d8b3bc293be54309a1d04ab6cf2f76124894e9
2,1,1,4890422.0,162,10109448.0,105672001.0,06ffd5f34abb3f9d8d0272199b3c51049f98a2e5627a56c6d7d2e038f7c1b130
1,1,1,41964817.0,49,546949.0,5885254.0,0700c4f825b6007bae99bfd9c65f4a119bc9a719f82561850c3e3b84757763a4
2,1,1,3944.0,23,6877466.0,79822729.0,0707642bc4fbe5b13c1ae60689cc1b161f6bd160c12c9c88b53305c0a8b7cdd2
1,1,1,551944.0,59,986618.0,1772617.0,07081c5924576dbd8f1fbe67c950025a9fa15045bfda55d47588903ecec71f41
2,1,1,474529.0,43,1543056.0,1535854.0,0723721ed554babf414458760d1eecbf61fb23bf7dbcf9956d29c3643e244235
1,1,1,3287522.0,156,3515603.0,1131808.0,0723e7a705fadd49fddf9f4e069e2590705b8eefaa9f480ab91bb2e16e596ca9
1,1,1,6677595.0,29,4056872.0,1451877.0,0733bdbbd74c7e95f31a3e05278d83a85e3ce6c1c675b6f1ae50965c9b9b5995
1,1,1,6314957.0,29,1336254.0,23967.0,073550b518a7c694d078ba601fb5a9b0b49887d170c101c70a4823668ec066f4
1,0,1,4159939.0,46,383575.0,89206.0,073a1c5958d6680a322b4e5db92e9dac878e204e48fb8d05057e8dabfab4aee6
1,0,1,4111979.0,31,116244.0,738671.0,0740b3ea1c0925ec2c8c08623e2f8ef0f9b7331eded61713c4f2d093a30aaccf
1,1,1,77391779.0,97,24597098.0,7257941.0,074c154f4683ef0c32293981196195899390c8b296e33d789c4875adb5932a32
2,1,1,394412.0,1,191096.0,0.0,075ae07ea7f596023ceeaab5a0255e2712b912860bc7a34b01cb3740455b7358
1,1,1,542125165.0,93,1176828830.0,359652692.0,075bf5624981db8915f455a8f0e6bc8035fc3557718ac57e7d7996c2972866ed
1,1,1,60483922.0,196,40477470.0,7338652.0,075d820f44dfa4414ecd070170b341e2dfcaa75c783425deff490164c36b4ad0
1,1,1,25419205.0,4,160710.0,54542.0,075da088443887097a2be45027605b87c4406f45139005c7b33f8b45c7ea3c45
1,1,1,28738335.0,31,1629551.0,2920427.0,07629942e09ea4a4ce16e2a467123780c1a325e41475a202a4143a97f5f3a062
2,0,0,3255.0,56,219638.0,96201.0,0772a30cf737c0348bbfacdd3384d5ac6409b0bdf922094aa4336bf9154aaaba
2,1,1,114349.0,35,19853339.0,20423157.0,0781fa1a794a28f7a76f0517c4997e67d12df32c07fbca802a35cde872035b18
2,1,1,7405012.0,30,1265.0,578.0,0799dadf29903fe08b2aeb55db195a1f219d2324e490e660bad07c02d5f1667a
1,1,1,2596253.0,68,30237731.0,1678991.0,07a8c4ee736d8a8c25dae139ed24f91c480d0bf8aa5a06fdf1dc47410cd50a53
2,1,1,898671.0,126,17073849.0,29939399.0,07b0522a2b5246dbbb18c9f159c783b64a946e4bdc3bb2dff5e44d5b4e751622
2,0,1,5157.0,129,11945250.0,10168429.0,07b637587be63f0a360537aa952508bcf9e4c70634405173415cee10cb275ec6
1,1,1,47973753.0,65,7924.0,196.0,07c048939960a54cf02265ec6055a847454fb074059b2695de3cd2737baef01a
1,0,1,69404084.0,87,1165758.0,1468136.0,07cfd314d2af91ac92c111b1f6962cbf9fd44ad1f656d43d14b8216d1d41da4c
1,1,1,197085862.0,177,1432405.0,526960.0,07d20237c7b30d2dec3bcae286e2a3c34e5fce54e4985229d62df41afba401c9
2,1,1,910646.0,124,1542053.0,855402.0,07d2f259c2a3d469c425fcde5f5aa74d8b4d2739609c3aa5fd80caf8d60031c4
2,1,1,6499772.0,63,140475.0,732924.0,07fa1c09986d0f1a0c080ef348f2229c098dd5f01276549ca26ba9cd5cbedf0a
1,1,1,10911099.0,108,2616420.0,7621549.0,0804bd2449e450e1e25565d4c15f839b635c1e016d18cc5ffd6224960081c61d
1,1,1,25995770.0,79,188335.0,559641.0,08060dbaea488a1d2de4147d62caddd1796956f1404eeb6172985e00fb8cbd10
1,1,1,37925850.0,9,312267.0,55989.0,080a7af37f6144d0d805223ef950805224a0ed0e08a73f91073d1579b4541a6a
1,1,1,100031332.0,123,4478777.0,2436380.0,08148168647a9e04c53c64e115c00c0b26acf4a7fe6785edac8ad530ee623546
2,1,1,1185313.0,113,8388376.0,17714090.0,081d8011f3a2afd80a6d6cd07f9b8dd52f27ab047ed870036b2b2aa7803772d3
2,1,1,19409626.0,22,2093341.0,6522653.0,0828a9352d92ead49dfdaf1a007f783b2431036ab7e99305eb50e21549e451a1
2,0,1,150.0,36,1061074.0,384608.0,082ed57a6df122f4ea3604e6c1e5d6ae381eb63d8d9b51f9c524d1172327da9b
1,0,0,94360.0,29,34624069.0,197735.0,083008b758fc20ef9092a52a1873e2389e1b3b0a8bba27375e4a1ea06fcf09dc
2,1,1,1993695.0,247,4474217.0,996658.0,083e47406d0d8277812f04efe77102e2087d3f915f4918a2e3e55963c3bd5e55
1,1,1,26020076.0,212,1608376.0,1011724.0,0840ca161b79ee7255cfd15f814dbdb34a6d9a75752f7e487395c859356a003e
1,1,1,14406890.0,154,21354555.0,88723722.0,085b753df57f848f258f8b670859582d90bdea494c1282a4a005886eab88c62d
1,0,1,106288467.0,66,7231683.0,11415046.0,086c01db19984c5608646ac639f73b170957c89ddd5869da9b2318f8abaabbad
2,0,0,25839.0,23,331082.0,47305.0,08738e413ddfe5b5c317c8c70b185fe7b19cfb1311af8dd940654294349cea4c
1,1,1,46915313.0,44,262955.0,56535.0,0876541f3f3f0a01ae8dbc8578a311087c80d1c3d7a8a328b3fe02dc661ffa8d
1,1,1,427172114.0,2,3209242.0,19576975.0,08821c2b999d00618670102f235e2cf708a133e2fa4156f1e85f5aac22838581
1,0,0,42952.0,21,1650215.0,1361573.0,08855c81c1e5e2904897672a1d75fade08d58e7fae59e7ca072aa10aad988196
2,0,0,6001.0,234,14508642.0,14635409.0,088fd43b6692843f8d7d4c82dd0e607d180659709367070b35c979eef5210873
2,1,1,161667.0,29,2069157.0,1376698.0,0894ffada9cc802d9e655550471809e83010723da492bf2f503e78a17aacc3df
1,1,1,13575492.0,97,458394643.0,21937976.0,08a4151624c2cb056466e471b06c22f422ed79106c48227943866d39bf41a5a9
1,1,1,334900.0,105,159292.0,1022338.0,08b0b854046b542143f1a63eca4ff5bd2338f0622bd59f294a18613a2f4ad95f
1,1,1,37481822.0,30,1177507.0,2268961.0,08b62982c10071c5087e401ee6894d4dfe2d1701fa450ff9d63947ae3021d7d3
1,1,1,71088297.0,123,56094777.0,64436232.0,08b8964e4b6e849e4e1ac7e9c42815f3eae52055225f327cfad5eb05ae71eebe
1,1,1,34058310.0,162,3616332.0,8707008.0,08c04e5ee490fb4cbd85f6e8b76892def485700c8d773a054f72fe7da4ac71f7
1,1,1,132449260.0,54,1955842.0,225834.0,08c630da9d03c4d12f635876862654cf4d56045cd22820a111ad77e421ae6788
1,1,1,3534493.0,1,208177.0,0.0,08ca7608db1ae676dd274c2cf2afc30179be0aabc2e5caa3c2042d87d628f947
1,1,1,1047102.0,1,20099.0,0.0,08caa9619d6a78790015c50936dbfc8ebe127dd41a5d526c5a71f0f18832ee63
1,1,1,577368115.0,6,763199.0,62306.0,08d2b4ae3c03515cac79354b8f30e3287a8d427f8af2d6ece78074fa45c148d0
1,1,1,575958.0,31,106.0,75.0,0912f862f41d25d582901f04d3e250e049c7aa7e44d687daf4cc8cf4ab332b89
1,1,1,1832856.0,33,145762.0,486849.0,092e82f40414c740943e7d743e07ab27dc5ee09994bda948e5e504dd65e70ec7
1,1,1,29738954.0,24,576124.0,4657886.0,093a45cae6ba3950d304e56401366854bbfa8a33c487cecaf1101f05f611c624
2,1,1,104931.0,296,149277505.0,161187891.0,09464d94d98cb6cd45e28f102f91e3ba7bc94f855d3de66a5feb6399bb1ed12b
